"periode_data","wilayah","jenis_sampah_btiga","jumlah","satuan"
"202212","Jakarta Barat","Kemasan Plastik","130,39","kg"
"202212","Jakarta Selatan","Kemasan Plastik","11,39","kg"
"202212","Jakarta Timur","Kemasan Plastik","36","kg"
"202212","Kepulauan Seribu","Kemasan Plastik","0,9","kg"
"202212","Jakarta Pusat","E-Waste","191,85","kg"
"202212","Jakarta Utara","E-Waste","160,13","kg"
"202212","Jakarta Barat","E-Waste","474,42","kg"
"202212","Jakarta Selatan","E-Waste","541","kg"
"202212","Jakarta Timur","E-Waste","409","kg"
"202212","Kepulauan Seribu","E-Waste","7,39","kg"
"202212","Jakarta Pusat","Lampu Bekas","17,95","kg"
"202212","Jakarta Utara","Lampu Bekas","41,9","kg"
"202212","Jakarta Barat","Lampu Bekas","36,26","kg"
"202212","Jakarta Selatan","Lampu Bekas","30,44","kg"
"202212","Jakarta Timur","Lampu Bekas","21","kg"
"202212","Kepulauan Seribu","Lampu Bekas","-","kg"
"202212","Jakarta Pusat","Batu Baterai","7","kg"
"202212","Jakarta Utara","Batu Baterai","31,38","kg"
"202212","Jakarta Barat","Batu Baterai","0,88","kg"
"202212","Jakarta Selatan","Batu Baterai","3,38","kg"
"202212","Jakarta Timur","Batu Baterai","-","kg"
"202212","Kepulauan Seribu","Batu Baterai","-","kg"
"202212","Jakarta Pusat","Limbah Medis","-","kg"
"202212","Jakarta Utara","Limbah Medis","-","kg"
"202212","Jakarta Barat","Limbah Medis","133,59","kg"
"202212","Jakarta Selatan","Limbah Medis","45,77","kg"
"202212","Jakarta Timur","Limbah Medis","32","kg"
"202212","Kepulauan Seribu","Limbah Medis","-","kg"
"202212","Jakarta Pusat","Oli Bekas","-","liter"
"202212","Jakarta Utara","Oli Bekas","-","liter"
"202212","Jakarta Barat","Oli Bekas","11,64","liter"
"202212","Jakarta Selatan","Oli Bekas","-","liter"
"202212","Jakarta Timur","Oli Bekas","-","liter"
"202212","Kepulauan Seribu","Oli Bekas","-","liter"
"202212","Jakarta Pusat","Lain-lain","-","kg"
"202212","Jakarta Utara","Lain-lain","-","kg"
"202212","Jakarta Barat","Lain-lain","10,41","kg"
"202212","Jakarta Selatan","Lain-lain","-","kg"
"202212","Jakarta Timur","Lain-lain","-","kg"
"202212","Kepulauan Seribu","Lain-lain","-","kg"
